,Datum,Filiale,Weizenbrot,Mischbrot,Vollkornbrot,Stangenbrote,Spezialbrot,Brötchen,Süsse_Brötchen,Herzhafte_Brötchen,KonditoreiBlech,Stückgebäck,Blechkuchen,Weihnachtsartikel,Wochentag,Tag,Jahr,Monat,Gesamt,Wochenende_flag,Season,Closed,Outlier,New_Years_Eve,Feiertag_DE,Holidays_SH,Niederschlag,Sonne_h,Temperatur_max
10,2015-01-05,3,137.294270565312,95.70311422141751,184.196463316172,69.9760955800261,10.880188429633698,385.71696095130096,69.5290946805013,117.984071107216,103.207991298696,274.69537107517505,64.8074243831889,0.0,0,5,2015,1,883.7670930638621,0,4,0,0,0,0,1.0,4.0,0.5,6.3
11,2015-01-06,1,76.88924181262641,163.811568962271,91.2059529621162,106.282289737009,20.7925992240345,209.55165564387298,145.660515052455,165.204073194422,135.2804991675851,204.838431251996,83.3860478474516,0.0,1,6,2015,1,668.5333083419301,0,4,0,0,0,0,1.0,13.8,0.0,8.6
12,2015-01-06,2,83.6246877654453,56.745185532288,129.928682439887,31.0688557783844,0.0,316.310219909386,159.838121011787,103.72948747069,59.1651505326385,178.31855985233298,44.629063234467296,99.9258868554899,1,6,2015,1,617.6776314253907,0,4,0,0,0,0,1.0,12.0,0.0,9.5
13,2015-01-06,3,108.51474753541099,112.40616374800301,164.94678802739202,74.7488766469092,3.78948250671362,371.927911539844,56.4328050971955,86.0576090317343,104.325271326218,252.67027756738898,67.2424455651047,0.0,1,6,2015,1,836.3339700042728,0,4,0,0,0,0,1.0,6.2,0.3,5.2
14,2015-01-07,1,50.092234807956295,116.482445795682,115.202953374399,114.103171311744,28.091373171027602,239.129203183321,149.097745977045,134.964534018153,125.96715159343901,217.432999512864,77.15485717575041,0.0,2,7,2015,1,663.1013816441299,0,4,0,0,0,0,0.0,13.6,0.0,8.3
15,2015-01-07,2,61.0526173030332,67.9850124358394,118.176164768201,13.253353108096302,0.0,295.845037539163,169.81073988834498,102.69004741098301,40.2978560674971,203.846388772431,45.45274317295589,0.0,2,7,2015,1,556.3121851543328,0,4,0,0,0,0,0.0,0.0,0.3,7.1
16,2015-01-07,3,128.456626515791,71.11075055023271,133.803855305983,81.32367736995279,29.1682778529322,337.906597233412,74.4279578772004,92.8198172018105,83.0887647377356,309.665637205983,81.4257321120131,0.0,2,7,2015,1,781.7697848283037,0,4,0,0,0,0,0.0,0.0,4.9,5.1
17,2015-01-08,1,51.4812530285596,136.769972517865,103.77261778239401,121.748050991835,-7.11434726480219,190.38864067966801,162.227137965769,115.112848217227,126.4923487473143,209.682288402986,50.3871574341673,0.0,3,8,2015,1,597.0461877355194,0,4,0,0,0,0,0.0,4.1,0.0,2.3
18,2015-01-08,2,79.82478380367209,57.94934767877189,91.97078846075671,68.0480717566173,0.0,287.790010047553,144.630287134407,86.0913924069653,57.6015071338164,170.361332668946,51.965896131300894,0.0,3,8,2015,1,585.583001747371,0,4,0,0,0,0,0.0,1.3,0.0,1.2
19,2015-01-08,3,130.779543671198,111.62266166156799,186.845961782989,50.0787168978558,27.2758762005591,377.071080330553,75.3733357817053,104.50051507076799,126.42416136890449,340.852725243795,84.1620030286112,0.0,3,8,2015,1,883.6738405447229,0,4,0,0,0,0,0.0,1.3,0.0,0.6
