,Model,Label,MAE,MAPE
56,Prophet-Holiday-ALLE,KonditoreiBlech,20.04949523963197,28.018162069222214
57,Prophet-Holiday-ALLE,Stückgebäck,71.89175643763521,52.93216837730901
58,Prophet-Holiday-ALLE,Blechkuchen,24.076956896095385,29.449097883296403
59,Prophet-Holiday-ALLE,Weihnachtsartikel,7.9292528819154935,17.141288568477023
60,Prophet-Holiday-SOMMER,Weizenbrot,11.925455304948843,17.15069768015633
61,Prophet-Holiday-SOMMER,Mischbrot,13.122227709721637,18.260760267014152
62,Prophet-Holiday-SOMMER,Vollkornbrot,17.04170912759694,13.64658380560281
63,Prophet-Holiday-SOMMER,Stangenbrote,11.608850786313191,34.21007409650383
64,Prophet-Holiday-SOMMER,Spezialbrot,12.307281360551277,19.455545472707467
65,Prophet-Holiday-SOMMER,Brötchen,52.78921632407495,13.16382720321488
66,Prophet-Holiday-SOMMER,Süsse_Brötchen,21.107785886885896,9.534443467417173
67,Prophet-Holiday-SOMMER,Herzhafte_Brötchen,24.973167743300305,24.90483349920048
68,Prophet-Holiday-SOMMER,KonditoreiBlech,21.272523174437858,30.08307896254825
69,Prophet-Holiday-SOMMER,Stückgebäck,69.6698934249135,51.029170234847875
70,Prophet-Holiday-SOMMER,Blechkuchen,26.35142663037619,32.13644156827404
71,Prophet-Holiday-SOMMER,Weihnachtsartikel,7.690728087223812,17.448046862152168
72,Prophet-Holiday-OSTERN,Weizenbrot,12.28945061454819,17.79058949291038
73,Prophet-Holiday-OSTERN,Mischbrot,12.90185140938624,18.01792817835107
74,Prophet-Holiday-OSTERN,Vollkornbrot,16.852661710932505,13.45710169170022
75,Prophet-Holiday-OSTERN,Stangenbrote,11.646860628550815,33.99418234716895
76,Prophet-Holiday-OSTERN,Spezialbrot,12.336553628641113,19.55811114393093
77,Prophet-Holiday-OSTERN,Brötchen,50.52397526472867,12.560121881803642
78,Prophet-Holiday-OSTERN,Süsse_Brötchen,21.313435914874557,9.706926103344932
79,Prophet-Holiday-OSTERN,Herzhafte_Brötchen,25.324434631101525,25.38555224465403
80,Prophet-Holiday-OSTERN,KonditoreiBlech,20.142986743886393,28.697787531306417
81,Prophet-Holiday-OSTERN,Stückgebäck,69.35346274622752,51.05477385311141
82,Prophet-Holiday-OSTERN,Blechkuchen,24.421260838815325,30.30813709127964
83,Prophet-Holiday-OSTERN,Weihnachtsartikel,7.5932210619352025,17.435507162834003
84,Prophet-Holiday-WALLE,Weizenbrot,12.253732706267568,17.662471868464603
85,Prophet-Holiday-WALLE,Mischbrot,13.346487333797153,18.64124886736059
86,Prophet-Holiday-WALLE,Vollkornbrot,17.35015228484483,13.86838171338953
87,Prophet-Holiday-WALLE,Stangenbrote,11.71317312533194,34.88277899915934
88,Prophet-Holiday-WALLE,Spezialbrot,12.584221880317926,20.033054272789833
89,Prophet-Holiday-WALLE,Brötchen,53.326290157504324,13.499984249448527
90,Prophet-Holiday-WALLE,Süsse_Brötchen,21.07000742880557,9.58610247390441
91,Prophet-Holiday-WALLE,Herzhafte_Brötchen,25.53394896777048,25.725904888703923
92,Prophet-Holiday-WALLE,KonditoreiBlech,21.423649192025575,30.073595942175967
93,Prophet-Holiday-WALLE,Stückgebäck,73.67092111835682,53.99707419437257
94,Prophet-Holiday-WALLE,Blechkuchen,26.265379722537006,31.770214640908932
95,Prophet-Holiday-WALLE,Weihnachtsartikel,7.962076296515852,17.07373442057652
96,Prophet-CLOSED,Weizenbrot,11.319447656578218,17.389267778028
97,Prophet-CLOSED,Mischbrot,12.014969595269006,17.8329727747709
98,Prophet-CLOSED,Vollkornbrot,15.787860012286423,13.542760912734373
99,Prophet-CLOSED,Stangenbrote,11.327519860066255,34.74668222016744
100,Prophet-CLOSED,Spezialbrot,11.46181840228413,19.032812017824984
101,Prophet-CLOSED,Brötchen,47.14785405376191,12.677296529069773
102,Prophet-CLOSED,Süsse_Brötchen,19.377238466309105,9.660160916810684
103,Prophet-CLOSED,Herzhafte_Brötchen,24.207792460973625,25.29468510813678
104,Prophet-CLOSED,KonditoreiBlech,19.92517199830928,27.69339143736201
105,Prophet-CLOSED,Stückgebäck,66.83533144971688,50.29266404919672
106,Prophet-CLOSED,Blechkuchen,23.71914231303441,30.68556455417554
107,Prophet-CLOSED,Weihnachtsartikel,7.880287077067921,17.34084595806667
