,ds,yhat
183,2019-07-03,203.8364502960616
184,2019-07-04,211.8872495539494
185,2019-07-05,217.7888945052508
186,2019-07-06,295.5029952060582
187,2019-07-07,272.67636091623325
188,2019-07-08,221.48373034238452
189,2019-07-09,234.916850073526
190,2019-07-10,240.48843542008584
191,2019-07-11,237.75073743076135
192,2019-07-12,233.0197370015032
193,2019-07-13,287.20141883119356
194,2019-07-14,293.40443564753275
195,2019-07-15,235.29107501106174
196,2019-07-16,261.21991940510316
197,2019-07-17,262.53958315474245
198,2019-07-18,248.778241856274
199,2019-07-19,252.2629221932837
200,2019-07-20,304.79968871109827
201,2019-07-21,209.21725182386095
202,2019-07-22,166.0813774948242
203,2019-07-23,268.4179417232822
204,2019-07-24,285.1943665550266
205,2019-07-25,292.15127320433595
206,2019-07-26,302.7438572369806
207,2019-07-27,383.83780889547546
208,2019-07-28,359.33391409762237
209,2019-07-29,275.96498685074994
210,2019-07-30,256.8374655578288
211,2019-07-31,265.6932580629932
212,2019-08-01,270.4465351570454
213,2019-08-02,274.40798257853754
214,2019-08-03,330.9187716657607
215,2019-08-04,350.55263812454564
216,2019-08-05,280.04600318114467
217,2019-08-06,269.88922686253727
218,2019-08-07,261.59630458907367
219,2019-08-08,283.4765363489412
220,2019-08-09,287.21935934804475
221,2019-08-10,346.3824106276781
222,2019-08-11,349.78450981036815
223,2019-08-12,260.8544432258942
224,2019-08-13,260.10302258294064
225,2019-08-14,253.68003275827624
226,2019-08-15,249.22105887554625
227,2019-08-16,250.15665524278347
228,2019-08-17,282.06213525814644
229,2019-08-18,309.7089175503103
230,2019-08-19,234.32773013875254
231,2019-08-20,234.32895629017818
232,2019-08-21,232.19324564950278
233,2019-08-22,234.54953033535972
234,2019-08-23,239.39407656726365
235,2019-08-24,274.7403861816099
236,2019-08-25,304.47940192770636
237,2019-08-26,228.6944645372168
238,2019-08-27,225.8065302530667
239,2019-08-28,222.0418895783824
240,2019-08-29,218.31963863420248
241,2019-08-30,220.7769668720469
242,2019-08-31,255.4827417461392
243,2019-09-01,283.20081679341064
244,2019-09-02,206.23452544622276
245,2019-09-03,206.5119568753175
246,2019-09-04,204.3867848009598
247,2019-09-05,204.19484111624635
248,2019-09-06,208.63141659341738
249,2019-09-07,243.82011871447696
250,2019-09-08,273.0011628152587
251,2019-09-09,196.44563360984114
252,2019-09-10,195.1991880030107
253,2019-09-11,191.48110517409071
254,2019-09-12,190.55486929213447
255,2019-09-13,193.590140126238
256,2019-09-14,227.95911955766346
257,2019-09-15,257.43812019305165
258,2019-09-16,181.59887934832733
259,2019-09-17,180.78388981933972
260,2019-09-18,178.71787577852055
261,2019-09-19,179.49755884287396
262,2019-09-20,184.83472447289756
263,2019-09-21,221.80095879794666
264,2019-09-22,253.61679447742608
265,2019-09-23,179.78335435581846
266,2019-09-24,181.79233648216476
267,2019-09-25,182.26387395367257
268,2019-09-26,186.48691507611784
269,2019-09-27,195.32816152946805
270,2019-09-28,234.61192897083174
271,2019-09-29,267.58036157990364
272,2019-09-30,195.59493256792035
273,2019-10-01,196.2356491204938
274,2019-10-02,195.24400773730449
275,2019-10-03,276.74727853065195
276,2019-10-04,199.1941832706552
277,2019-10-05,233.56598434514854
278,2019-10-06,263.05497970362615
279,2019-10-07,187.46953398679764
280,2019-10-08,188.5537370927818
281,2019-10-09,186.5869303438932
282,2019-10-10,188.4809994725742
283,2019-10-11,195.08772842861273
284,2019-10-12,232.39044179845493
285,2019-10-13,265.18226674519286
286,2019-10-14,190.26300451604797
287,2019-10-15,191.0753224083817
288,2019-10-16,186.65314439342887
289,2019-10-17,185.65968087627175
290,2019-10-18,188.19699580151948
291,2019-10-19,220.41823461631336
292,2019-10-20,247.83808328078084
293,2019-10-21,170.54003131501085
294,2019-10-22,168.8044790718268
295,2019-10-23,165.3510687803226
296,2019-10-24,165.4438843397026
297,2019-10-25,169.72213210403856
298,2019-10-26,205.48208438364466
299,2019-10-27,234.7302040214363
300,2019-10-28,158.43921269974038
301,2019-10-29,157.28506102669422
302,2019-10-30,154.10043744323644
303,2019-10-31,153.91505699759603
304,2019-11-01,157.57370206815887
305,2019-11-02,195.32250039953345
306,2019-11-03,226.37330985714314
307,2019-11-04,152.7865628909961
308,2019-11-05,154.91633894590274
309,2019-11-06,155.01189834776298
310,2019-11-07,158.79207407370805
311,2019-11-08,166.16001912463813
312,2019-11-09,203.38820983907655
313,2019-11-10,234.69572588301932
314,2019-11-11,159.2502648063856
315,2019-11-12,159.16700170200815
316,2019-11-13,155.67336784160145
317,2019-11-14,155.91079116559715
318,2019-11-15,160.08290443327385
319,2019-11-16,195.7422836705708
320,2019-11-17,227.10252848799695
321,2019-11-18,154.37206975464065
322,2019-11-19,157.2964646103759
323,2019-11-20,157.3047586485962
324,2019-11-21,162.31022975599438
325,2019-11-22,170.0304900341431
326,2019-11-23,207.76655517934083
327,2019-11-24,238.70576835354095
328,2019-11-25,164.00446048747474
329,2019-11-26,163.9769277663074
330,2019-11-27,160.80003130630908
331,2019-11-28,160.3428960096749
332,2019-11-29,162.89183049566103
333,2019-11-30,197.3743771090294
334,2019-12-01,227.19811890046407
335,2019-12-02,152.4155999523136
336,2019-12-03,153.62667675931678
337,2019-12-04,152.18150750609436
338,2019-12-05,154.05193883913034
339,2019-12-06,160.14412983558134
340,2019-12-07,196.726398075435
341,2019-12-08,227.82489030489901
342,2019-12-09,152.39796720972063
343,2019-12-10,152.23949655157392
344,2019-12-11,150.06461563543786
345,2019-12-12,150.9775091471129
346,2019-12-13,155.67367634812965
347,2019-12-14,192.53921744042756
348,2019-12-15,224.7088982961776
349,2019-12-16,150.8602293999287
350,2019-12-17,153.85332979527863
351,2019-12-18,152.93571182890324
352,2019-12-19,155.0100258844264
353,2019-12-20,161.84008146390508
354,2019-12-21,198.82554205757805
355,2019-12-22,230.66338357865988
356,2019-12-23,158.6903816931794
357,2019-12-24,168.72290483499782
358,2019-12-25,-25.904699062046106
359,2019-12-26,2.690808788118428
360,2019-12-27,174.96231589808886
361,2019-12-28,213.73907761048886
362,2019-12-29,247.8121080598041
363,2019-12-30,182.57528005627833
364,2019-12-31,183.82670308517703
365,2020-01-01,-26.251603157232562
366,2020-01-02,174.24362237411842
367,2020-01-03,177.34814169885527
368,2020-01-04,210.6972487841719
369,2020-01-05,237.98603114151967
370,2020-01-06,160.88617002384044
371,2020-01-07,159.14207410989576
372,2020-01-08,156.29806715772108
373,2020-01-09,157.44048911119515
374,2020-01-10,162.57599126118663
375,2020-01-11,199.74361025938643
376,2020-01-12,232.47971465167413
377,2020-01-13,157.1746132261638
378,2020-01-14,156.85155094397774
379,2020-01-15,154.42006052361535
380,2020-01-16,153.75997332948387
381,2020-01-17,157.35512647044865
382,2020-01-18,192.67776943236572
383,2020-01-19,222.36896844430794
384,2020-01-20,145.375363423672
385,2020-01-21,144.9276226410934
386,2020-01-22,143.17963073244573
387,2020-01-23,145.1944286942471
388,2020-01-24,151.40718553765947
389,2020-01-25,189.18786293371562
390,2020-01-26,220.91780877450495
391,2020-01-27,147.69882951875428
392,2020-01-28,149.0982753923466
393,2020-01-29,147.3685888007874
394,2020-01-30,148.77520074995493
395,2020-01-31,155.31019195254603
396,2020-02-01,193.25948849941892
397,2020-02-02,225.2226210845762
398,2020-02-03,152.49088291594512
399,2020-02-04,155.53435417982737
400,2020-02-05,156.67725324735568
401,2020-02-06,160.40930404287505
402,2020-02-07,167.44247568606238
403,2020-02-08,205.65377837530127
404,2020-02-09,238.0080551682014
405,2020-02-10,162.21401083982354
406,2020-02-11,161.72766738321837
407,2020-02-12,158.18707989155897
408,2020-02-13,157.2151142971858
409,2020-02-14,160.05962656633315
410,2020-02-15,194.99747851372885
411,2020-02-16,227.09198451322771
412,2020-02-17,152.41202753217104
413,2020-02-18,154.73169113539447
414,2020-02-19,155.10335014794052
415,2020-02-20,159.0966896917704
416,2020-02-21,166.21730703924368
417,2020-02-22,203.59887622951098
418,2020-02-23,235.64643261218174
419,2020-02-24,161.2634982642415
420,2020-02-25,161.64870359617248
421,2020-02-26,159.21964800162235
422,2020-02-27,158.94405067118936
423,2020-02-28,162.91067397645324
424,2020-02-29,198.39809244911828
425,2020-03-01,227.79646010049473
426,2020-03-02,153.902615108888
427,2020-03-03,155.26936012731838
428,2020-03-04,154.88985032371295
429,2020-03-05,158.03743147602208
430,2020-03-06,164.39775292925407
431,2020-03-07,202.4531448536352
432,2020-03-08,234.8604445676881
433,2020-03-09,161.62472398218915
434,2020-03-10,161.14273509086382
435,2020-03-11,160.2830243641426
436,2020-03-12,159.81270030243917
437,2020-03-13,164.93931313519835
438,2020-03-14,202.1565512038591
439,2020-03-15,234.93393319772827
